,cleaned_tweets,nilai,sentimen
13465,kami warga bukit sawangan indah bojongsari depok belum pernah mendapat perhatian dari pks sawangan atau pks depok ketika komplek kami banjir besar hari rabu ataupun merebaknya virus corona,15,positif
13466,awal berita covid ramai di wuhan saya masih biasa saja dan tidak menyangka bakal masuk indonesia begitu ada wni yang positif kena dan apalagi orang depok sudah mulai ketar ketir sendiri,-14,negatif
13467,seram euy baca kisah korban korona saya habis dari depok kebekasi langsung mandi baju langsung dicuci terus gapernah masuk ke kamar nenek seram masalahnya tetangga yang didepok ada yang kena,-20,negatif
13468,apalagi mau nanganin covid masih amat sangat meragukan semoga pemerintah kota kotaku ini segera berbenah dan warga depok sehat selalu jadi tidak perlu pergi ke rsud,16,positif
13469,zona merah covid di jawa barat menurut gubernur kota depok kota bekasi kota bogor kabupaten bogor kabupaten cirebon kota bandung dan kabupaten bandung,1,netral
13470,selamat siang minta tolong informasi tentang jadwal kereta jakarta depok untuk tanggal maret karena virus corona perubahan jadwal kereta per maret terima kasih,5,positif
13471,"jangankan covid sekitar minggu yang lalu w mau bikin surat bebas narkotika, psikotropika, dan obat terlarang di rsud depok w sudah antri lamaaa banget karena memang yang berobat ratusan dan nomor antrian digabung di awal tidak langsung pisah sesuai poli tujuan kita antrian sudah ngulerrrrr ke teras rs w datang sekitar pukul",-12,negatif
13472,entah apa yang terjadi sm kota depok ini apa yang dikerjakan pemkotnya bahkan rsud depok pun belum siap jadi rs rujukan covid terus rakyat depok yang suspect mesti kemana ke rs rujukan di jakarta kalau tidak dipersulit prosedurnya katanya rsud depok sedang dipersiapkan sampai kapan,-29,negatif
13473,demi menjaga kesehatan bersama dan sebagai salah satu langkah preventif dalam mengatasi covid depok town square melakukan penyesuaian jam operasional mulai hari ini maret senin minggu,10,positif
13474,waspada terhadap penyebaran virus corona di butuhkan kesadaran masyarakat gotong royong warga depok melawan virus corona,0,netral
13475,selain corona dbd juga bikin was was warga depok,-1,netral
13476,gotong royong warga depok melawan virus corona mari bersama melawan virus corona lakukan apa yang di perintahkan pemerintah untuk mencegah penyebaran virus corona,-10,negatif
13477,disitu saya mulai marah ketika presiden mengumumkan warga terinfeksi korona apakah sudah mengantisipasi chaos keadaan masyarakat bagaimana tentu saja panik apalagi warga tersebut identitasnya dari depok,-9,negatif
13478,situasi depok terlepas dari bahan pangan situasi sudah cukup mengerikan masker dan hand sanitizer sudah tidak tersedia sejak presiden umumkan warga pertama terinfeksi covid bahkan untuk membeli masker ketika anak saya batuk pilek sakit beneran pun tidak kebagian,-23,negatif
13479,woi warga twitter aku lapar dan haus tolonglah kirimin makanan anak kos tidak bisa apa di hari suci corona sedunia ini jalan sembada nomor kledokan caturtunggal depok yogyakarta kosan bertingkat putih kamar,-11,negatif
13480,depok kapan rapid test lokasi pertama terinfeksi covid tapi belum ada rapid test apa yang ditunggu apa yang akan dilakukan di pandemik ini,-11,negatif
13481,tanggap virus corona depok mulai larang warganya gelar respesi pernikahan,2,netral
13482,bisa depok tapi lagi corona tidak boleh out,-7,negatif
13483,cegah penyebaran covid wmi semprotkan disinfektan di tanah baru depok,1,netral
13484,waktu corona siaga coronavirus update coronavirus update dyanjalan alfatahpasirbentik depok,-1,netral
13485,baca di berita walikota depok positif corona benarkah dan beliau habis bepergian ke ln,6,positif
13486,dikontak presiden china jokowi tawarkan bantu tangani corona bantu dengan eksport jamu sebagai obat coronna seperti halnya bidadari studio alam depok,3,positif
13487,semoga pejabat dahulu yang suspek dan mati duluan pada saat kasus korona pertama di depok sebaiknya jokowi ambil tindakan tegas dengan menutup semua akses bandara penyebaran wabah bahkan banyak pejabat anggap enteng inikan bodoh nama sekarang barulah kelimpungan plonga plongo,-9,negatif
13488,lawan virus corona dengan cara hidup sehat dan imunitas tinggi depok,9,positif
13489,semalem mimpi jae pakai topi ada tulisan dinas kesehatan depok dia disitu ceritanya pinter banget mau nanganin corona terus anehnya dia kerja di atas perahu kecil di atas danau begitu kayaknya cuma bisa kerja kaya begitu kenapa,-3,negatif
13490,pak mohon informasinya untuk rapid test virus corona di kabupaten bogor khususnya kelurahan parung bagaimana karena kami berbatasan dengan wilayah kota depok mohon informasinya pak dan warga disini masih kurang edukasi mengenai virus corona itu sendiri terima kasih pak,-3,negatif
13491,cegah penularan corona depok minta resepsi pernikahan ditunda,3,positif
13492,dampak corona tempat wisata hingga pusat kebugaran di depok diimbau tutup,-6,negatif
13493,rsud depok rekrut puluhan pagawai untuk antisipasi penanganan corona,3,positif
13494,nanti kayak di depok yang penting kesadaran diri kalau ada gejala langsung ke rs unair kalau g salah gratis lalu pemerintah sendiri juga harus tanggap menelusuri siapa saja yang telah berinteraksi dengan penderita corona untuk di lakukan tes juga semoga wabah segera teratasi aamiin,-7,negatif
13495,siaga covid kantor dpd pks depok lakukan penyemprotan disinfektan depok news,0,netral
13496,cegah covid gedung dprd depok disterilkan depok news,2,netral
13497,kinerja pemerintah kota depok penanganan corona mana berita,-4,negatif
13498,pak walikota dan sudah meninggal dan positif belum yang pdp lainya apakah ada tindakan pemerintah kota depok supaya wabah corona di dekat danau kampung lio tidak menjalar apalagi di situ daerah padat terima kasih cc,-4,negatif
13499,siaga covid kantor dpd pks depok lakukan penyemprotan disinfektan,-1,netral
13500,depoknews penyemprotan cairan desifektan mulai dilakukan petugas kesehatan sebagai langkah mengantisipasi penyebaran dan pencegahan virus covid atau virus corona penyemprotan dilakukan di kantor mapolresta depok di jalan margonda kecamatan pancoran mas,3,positif
13501,pak walikota dan sudah meninggal dan positif belum yang pdp lainya apakah ada tindakan pemerintah kota depok supaya wabah corona di dekat danau kampung lio tidak menjalar apalagi di situ daerah padat terima kasih,-4,negatif
13502,cegah covid gedung dprd depok disterilkan,1,netral
13503,sekolah relawan bentuk kampung siaga covid di beji utara depok news,6,positif
13504,pak ridwan mohon depok dipantau keseriusan menangani corona beberapa kali bikin berita penyemprotan desinfektan kebanyakan di masjid saja tidak efektif kan kita di suruh banyak tinggal di rumah,5,positif
13505,jadi takut kalau nanti saya jadi pulang kampung dan amit positif corona headline berita anak muda yang postif corona pernah tinggal di jakarta dekat sekali depok,-19,negatif
13506,penyintas covid di depok imbauan hari di rumah jangan dianggap sepele,3,positif
13507,corona effect keadaan depok dan sekitarnya sepi masyarakat berdiam diri di rumah masing masing,2,netral
13508,antisipasi penyebaran corona dua gedung di balai kota depok disterilisasi,-1,netral
13509,dua dari tiga pasien positif corona yang meninggal di jawa tengah pulang dari depok dan bogor kasus yang terinfeksi bertambah dua orang,-18,negatif
13510,sebagai informasi refill hand sanitize spray kalian quality product as use on hospital and medical depok,0,netral
13511,tidak mungkin corona di indo cuma satu titik dari wna yang di depok pasti banyak di indo tapi belum ketahuan saja wna skrng pemerintah pusingkan kesalahn kecil itu tapi dampak besar coba deh logika begini corona cuma ada di china mengapa bisa ke indo,-32,negatif
13512,belum ada vaksin pasien ini sembuh dari virus corona pasien ini sembuh usai menjalani masa karantina di rumah sakit penyakit infeksi tiga pasien yang terjangkit virus corona baca selengkapnya di web,7,positif
13513,aduh orang warga depok positif corona,4,positif
13514,mg mas sama mg puput izzi sama semua anak anak depok memang idola jaga diri dari corona teman-teman ada rezeki bisa ketemu lagi,0,netral
13515,besokannya saya dapat kabar bahwa ada orang suspect corona di depok akhirnya terjawab kenapa indonesia cepat sekali dalam penyebaran virus covid karena manusianya terlalu sesumbar sampai lupa untuk proteksi diri,3,positif
13516,preset banyak tidak punya foto buat di edit mau jalan buat foto foto depok masih ramai banget minta foto foto sama cewek dikira modus saya bersin pada bubar corona bikin rumit,14,positif
13517,depok sekitarnya yang terkena covid,-6,negatif
13518,cerita pasien asal depok usai sembuh dari covid,5,positif
13519,overlay peta sebaran kasus di dki jakarta tangerang dan jabar node kasus di sudah berwarna sekarang positif paling banyak di jaksel dekat aksesnya ke depok bogor bekasi jabar juga yang dekat jakarta yang merah jakarta epicentrum covid ind,5,positif
13520,yang kasih informasi awal ada corona apa anies di bantah menkes selang beberapa hari kepala negara mengiyakan ada yang temuan yang terjangkit corona di depok cari panggunggung sama cuci tanganya di mana,-10,negatif
13521,penolakan keras seluruh buruh depok omnibus law ruu cipta kerja dan pencegahan virus covid,5,positif
13522,kegiatan patroli dan penyampaian himbauan pencegahan virus covid oleh personil sat sabhara,7,positif
13523,pencegahan penyebaran wabah virus corona terus dilakukan aparat kepoliisan polres metro depok melakukan patroli humanis menghimbau warga agar tidak melakukan kegiatan di luar rumah raimasreborn,-5,negatif
13524,terus bertambah orang positif covid di depok lewat,0,netral
13525,darurat corona pemerintah kota depok tutup tempat hiburan warung internet fitness dan billiard lewat,-3,negatif
13526,himbauan pencegahan pandemi virus corona covid koramil sukmajaya dan,-5,negatif
13527,terimakasih sudah mempublikasikan kegiatan kami semoga semakin banyak komunitas yang akan bersinergi untuk pencegahan covid di kota depok baik edukasi maupun aksi penyemprotan disinfektan ke ruang publik baik tempat ibadah maupun sekolah,26,positif
13528,manusia ini yang bilang virus corona tidak akan berkembang di indo karena negara tropis tidak lama ada yang ada yang positif di depok makanye jadi manusia jangan takabur,-20,negatif
13529,keterangan dari handoko gunawan yang terjangkit covid smoga bencana ini segera berakhir aamiin depok,-9,negatif
13530,dolan ojo neng depok corona cok,4,positif
13531,sehubungan dengan meningkatnya penyebaran covid di wilayah nkri serta memperhatikan surat edaran kpu ri nomor tahun dengan ini kpu kota depok memutuskan untuk menunda tahapan pelantikan anggota pps terpilih sampai dengan waktu yang tidak ditentukan,-17,negatif
13532,antisipasi covid pemerintah kota depok keluarkan kebijakan menutup tempat hiburan hingga menunda resepsi pernikahan,-4,negatif
13533,balita diy ini sembuh dari corona ternyata punya riwayat perjalanan ke depok,3,positif
13534,rumah kakak saya di depok disuruh kemari dulu tertawa tapi saya lihat lihat orang daerah sini sante betul ngadepin corona tapi sekaligus juga khawatir soalnya tiap hari klinik dekat sini ramai melulu,6,positif
13535,halo one it sesuai komitmen kita non profit event maka sisa dana event angel s melody depok kami sumbangkan untuk melawan kasus covid di indonesia lewat kitabisa teman yang mau nyumbang bisa kesini yah,9,positif
13536,ibu di jogja ceritakan kronologi anak terinfeksi corona usai dari depok,-5,negatif
13537,patut di adu ini semedi untuk mecegah corona gubernur kaltim vs dengarkan suara nyanyian penghilang stress dilampu merah jalan margonda versi walikota depok,1,netral
13538,tribunnews bayi di sleman yang sembuh dari virus corona sempat ke jakarta naik kereta tinggal hari di depok,-10,negatif
13539,siaga bencana virus corona pemerintah kota depok minta bioskop hingga tempat fitnes untuk ditutup serta resepsi pernikahan ditunda,-5,negatif
13540,depok darurat bencana virus corona fspmi minta pemerintah monitoring perusahaan yang abaikan protokol kesehatan bagi karyawan,-1,netral
13541,bayi di sleman yang sembuh dari virus corona sempat ke jakarta naik kereta tinggal hari di depok,-10,negatif
13542,wali kota depok disarankan jalani tes pemeriksaan covid pemeriksaan ini dilakukan,-1,netral
13543,bnpb sudah bangun rs sementara di kampus ui kota depok siap siaga corona,-2,negatif
13544,depok sebelum berita corona sama setelahnya tidak ada bedanya perasaan tetep saja ramai,-3,negatif
13545,apa kita harus mitap kelar corona bcs aku juga aadc aku anak depok city,-5,negatif
13546,ini warga depok suka amat klayaban sudah pada kebal apa yak sama virus corona ramai benar jalanan margonda,7,positif
13547,tidak tahu tapi kalau sudah ada health record poin gejala covid sejak masuk rs tanggal itu harusnya sudah ada perlakuan khusus sebelum tanggal dipulangkan logic awamnya dia harus extend hari case sama case di depok itu sudah diberitakan sebelum tanggal,-8,negatif
13548,padahal uang iphonenya bisa buat bersihin lingkungan depok bantu korban korona bang,2,netral
13549,waspada corona pemerintah kota depok imbau tempat hiburan hingga warung internet ditutup,-1,netral
13550,depok masuk zona merah corona ridwan kamil siapkan sejumlah skenario bantuan,3,positif
13551,tertawa mengisi deteksi dini covid cuma iyain batuk yang cuma gegara makan ciki saja langsung jadi odp apakah mengisi tinggal di depok itu faktor terbesarnya,-15,negatif
13552,padahal itu komplek aku sudah ada yang diconfirm positive covid tapi kenapa orang depok pada sok sakti masih bae keluaran pakai kutang sama kolor saja,1,netral
13553,update covid di depok positif pdp,3,positif
13554,pemerintah kota depok larang kegiatan keagamaan termasuk shalat jumat untuk cegah corona,4,positif
13555,berikut merupakan informasi yang harus disampaikan kepada masyarakat berdasarkan surat edaran dinas kesehatan kota depok nomor yan mari kita berjuang bersama sama untuk memutuskan rantai penyebaran covid,-10,negatif
13556,mari di rumah saja nurut dengan pemerintah demi kebaikan kita bersama,12,positif
13557,dear gubernur banten tolong lockdown jakarta depok tangerang tangerang selatan bekasi dan kota bogor terbukti wilayah ini jadi epicenter covid di indonesia cc,7,positif
13558,petugas gabungan tni polri dan pemerintah kota depok jawa barat jabar melakukan patroli jalan kaki ke kawasan padat penduduk tujuan mereka ingin menyosialisasikan mengenai jaga jarak atau social dinstancing dalam upaya menekan penyebaran korona,2,netral
13559,depok baru ada orang yang positif korona kan yaa,2,netral
13560,enak yang di depok sudah pada kebal corona,-1,netral
13561,warga depok lawan corona lewat,2,netral
13562,mau kmn neng cantik depok corona,11,positif
13563,ini data terbaru pekembangan covid di kota depok,-1,netral
13564,terus mereka nambahin kamu kan dari depok pasti kamu corona ih jauh jauh,-9,negatif
13565,sehat terus pak anies saya warga depok yang selalu menunggu himbauan dari bapak tentang cara penanganan pandemi virus corona saat ini dan kedepannya,-14,negatif
13566,sesungguhnya semenjak ada corona dan awal mula corona ada di depok saya sering terzolimi,8,positif
13567,dikhawatirkan picu keramaian ditengah darurat bencana virus corona pemerintah kota depok minta kegiatan isra mi raj di masjid nurul musthofa center ditunda,3,positif
13568,depok urutan ke darurat tanggap corona denger mau libur hari untuk sekolah tidak punya pekerjaan panjang kayaknya,11,positif
13569,pemerintah kota depok pastikan stok sembilan bahan pokok aman di tengah wabah corona,-4,negatif
13570,bagus harus contoh tempat lain cegah corona petugas di depok keliling kampung minta warga tidak keluar rumah kapan yang kota lain,-25,negatif
13571,benahin depok ayo tapi masih corona bang,3,positif
13572,ikuti imbauan pemerintah kegiatan isra mi raj di masjid nurul mustofa center kota depok ditunda imbas virus corona,1,netral
13573,sosialisasi cegah penyebaran virus korona polisi melakukan patroli keliling pemukiman dengan menggunakan pengeras suara pot,4,positif
13574,petugas puskesmas di depok keliling gunakan ambulans imbau warga cegah corona,-2,negatif
13575,kita putus mata rantai penyebaran virus covid terus tingkatkan daya tahan tubuh dan perilaku hidup bersih dan sehat sabtu maret gugus tugas percepatan penanganan covid kota depok,-5,negatif
13576,kalau ada tetangga di wilayah depok yang terkena covid harus lapor kemana,-6,negatif
13577,keluarga mantan pasien positif corona di jogja kisahkan kronologi perjalanan ke depok,3,positif
13578,males depok banyak corona,-2,negatif
13579,sudah ada informasi rumah sakit rujukan untuk kasus covid di depok mohon segera di informasikan terima kasih,15,positif
13580,cegah corona rumah zakat depok lakukan aksi penyemprotan disinfektan depok news,7,positif
13581,warga depok yang positif virus korona kini mencapai orang,1,netral
13582,lapor pak darurat mohon sosialisasikan lebih masif ke warga depok soal corona ini banyak yang meremehkan hari ini masa berkumpul masih banyak sekali acara nikahan acara keagamaan di rangkapan jaya dan sekitarnya,14,positif
13583,tanggap darurat corona covid mulai senin maret transjakarta kembali kurangi layanan dan jangkauan operasional depok news,5,positif
13584,patuhi anjuran pemerintah hadapi wabah corona honda cbr riders club depok lockdown anggotanya,-7,negatif
13585,dalam upaya pencegahan covid calysta skin clinic cabang untuk kamu yang ingin konsultasi atau membeli produk bisa lakukan secara online,9,positif
13586,tiga pasien virus corona jenis baru covid asal kota depok yang telah dinyatakan sembuh membeberkan beberapa tips kepada para wartawan agar berhasil sembuh dari infeksi virus corona meski belum ada vaksin,5,positif
13587,sepertinya dihimbau saja mbak tidak ada pengawasan dan ketegasan pemerintah kota padahal katanya status depok sudah tanggap darurat isra miraj berjamaah di sebuah mesjid di kecamatan sukmajaya depok yang terdata sebagai wilayah positif corona akan tetap dilaksanakan nanti malam,-4,negatif
13588,kronologi balita tahun di jogja sembuh virus corona ke depok hingga masuk ruang isolasi,-4,negatif
13589,pemerintah kota pemkkot depok jawa barat jabar mencatat adanya penambahan kasus positif terinfeksi virus korona atau covid data terbaru menyebutkan kasus positif menjadi orang,11,positif
13590,nanti corona di depok,-3,negatif
13591,tekan jumlah pasien corona pemerintah kota depok terapkan telemedis,0,netral
13592,kasus positif korona di depok menjadi empat orang sembuh,7,positif
13593,warga depok yang positif corona sudah tembus orang,4,positif
13594,warga depok positif corona dan pdp,3,positif
13595,teman besok nikahan di depok minggu yang lalu sudah nyebar undangan ke kerabat dekat gara pandemi covid jadi ragu buat datang kesana tapi gaenak kalau tidak datang sampai saat ini belum ada kabar dari dia juga besok prosedur bagaimana apakah dibatesin yang datang atau tidak,-38,negatif
13596,bagaimana perkembangan di indonesia simak wawancara dengan salah satu pasien suspect dari depok selengkapnya cek radio powered by di aplikasi,-2,negatif
13597,cok saya habis antar barang kerumah orang cod ngobrol ternyata kasus pertama corona indo yang di depok kejadiannya daerah situ meter dari tempat saya cod huhuhuhuhu,-17,negatif
13598,warga depok dalam pengawasan dinyatakan positif terinfeksi corona,6,positif
13599,meeting karyawan bakmi jogja mbah giyo outlet depok cinere untuk mencegah virus corona dan dampak untuk semua rajin mencuci tangan sehabis melakukan apapun dan jaga jarak dengan orang sekitar,1,netral
13600,ridwan kamil tes kit corona diprioritaskan untuk bogor depok bekasi,2,netral
13601,sebanyak warga kota depok positif covid,2,netral
13602,cegah virus covid smp tirtajaya depok produksi hand sanitizer dan disinfektan herbal,3,positif
13603,di rumah saja mas ini sepertinya nantangin covid banget apalagi dom depok lebih baik stay at home,2,netral
13604,pesan penting disampaikan maria darmaningsih warga depok yang dinyatakan telah sembuh dari virus covid wanita yang berprofesi sebagai dosen ini justru menghimbau masyarakat untuk memanfaatkan musibah ini untuk lebih dekat dengan keluarga,-7,negatif
13605,dom depok mau totebag nct semoga indonesia terbebas dari virus corona semoga orang orang yang terkena virusnya oun dapat sembuh dan tidak akan menambah korban jiwa lagi,-3,negatif
13606,berita baik itu konotasinya dunia emosi rayuan seperti menkes menyatakan tidak ada pasien kasus covid padahal fakta telah ada sebulan di jakarta dan depok prinsip seharusnya mengusung hal kebenaran itu tercakup kebaikkan miliaran orang seisi bumi rusak akibat kebaikkan,-2,negatif
13607,jumlah warga kota depok jawa barat yang positif terinfeksi virus korona atau covid bertambah data terbaru yang dapat diakses melalui situs terdapat sebanyak orang dinyatakan positif hingga jumat malam,-4,negatif
13608,tanyakan dulu ke menkesnya yang sengaja menutupi sebulan telah adanya pasien kasus covid di depok dan jakarta,-8,negatif
13609,mari kita bantu mengisi kebahagiaan ditengah masker hand sanitizer yang sulit didapatkan dpp knpi bekerjasama dengan bakornas lkmi pb hmi lkmi se kawasan melaksanakan tugas bakti dalam mencegah penyebaran covid di ruang publik direktur lkmi hmi cabang depok,5,positif
13610,papahku sampai di depok di berita kayaknya jakarta darurat banget corona ini ko depok keliatannya santai santai saja tadi papah lihat pasar masih ramai tidak banyak yang pakai masker juga what would kamu expect from depok si pah,-2,negatif
13611,depok siapkan konsultasi medis covid di,2,netral
13612,gugus tugas corona depok diminta ajukan biaya tidak terduga,-11,negatif
13613,warga depok positif corona orang dalam pengawasan,6,positif
13614,pengumuman lowongan pekerjaan di pegawai tidak tetap dalam rangka pemenuhan kebutuhan sdm pada situasi tanggap darurat covid di kota depok,7,positif
13615,data penderita positif corona virus disease covid di kota depok jawa barat hingga jumat malam mencapai orang,-2,negatif
13616,bentuk pencegahan penyebaran covid lakukan konsultasi dan pembelian produk secara online,12,positif
13617,i just published cegah corona,0,netral
13618,gugus tugas covid depok ajukan anggaran biaya tidak terduga,-11,negatif
13619,calysta skin care garut cegah corona,2,netral
13620,bertambah penderita covid di depok jadi orang,-5,negatif
13621,calysta skin care garut bentuk pencegahan terhadap covid,8,positif
13622,calysta skin care depok cegah corona,3,positif
13623,calysta skin care depok bentuk pencegahan terhadap covid,9,positif
13624,cegah corona,0,netral
13625,calysta skincare kuningan cegah corona,0,netral
13626,pemerintah kota pemerintah kota depok memperbaharui data penderita corona virus disease covid di kota depok jawa barat hingga jumat malam dengan jumlah warga yang positif mencapai orang,-6,negatif
13627,muda mu tua tu mu ke mall reunian alumni xii ipa tu sedang ramai virus corona jangan mu namanya reunian yah pasti ramai tu sama mana reunian hari begini mu smak depok tu di mana itu baru denger mu masa lagi naik daun padahal sama kovid tu,-3,negatif
13628,ketika semua fokus ke corona di suatu pojok kota depok dbd ngedumel am i joke to you,-5,negatif
13629,orang warga depok jabar positif covid,6,positif
13630,sebanyak warga depok positif covid,3,positif
13631,jumlah pasien positif virus corona di depok bertambah,-2,negatif
13632,rs brimob depok ditunjuk jadi rujukan pasien virus corona,0,netral
13633,cegah corona petugas lakukan penyemprotan desifektan depok news,-2,negatif
13634,positif korona di depok orang,3,positif
13635,pemberitahuan mengenai peniadaan ibadah hari minggu dalam rangka upaya antisipasi dan pencegahan wabah virus covid gideon depok,3,positif
13636,bertambah ada pasien positif corona di kota depok dan pdp serta odp,3,positif
13637,jumlah kasus yang terkonfirmasi bertambah dari yang sebelumnya sembilan orang menjadi orang,-18,negatif
13638,bertambah penderita covid di depok menjadi orang,-6,negatif
13639,ini pada lari ke jakarta coret ini para panlok psk dan sejenisnya agen corona saran saya depok bogor tangerang bekasi tangerang selatan segera lockdown juga sebelum mewabah,-3,negatif
13640,ikuti himbauan walikota depok terkait pencegahan corona penumpang bus akap menurun depok news,-5,negatif
13641,ikuti himbauan walikota depok terkait pencegahan corona penumpang bus akap menurun,-6,negatif
13642,parah parah lebih baik tidak perlu takut virus corona menyebar lewat video orang depok,-7,negatif
13643,ayo buat warga jakarta depok citayem bojong dan seterusnya tunjukan skill kalian dalam mecarik ciu dan kumpulkan ciu ciu terdasyat kalian untuk melawan corona,7,positif
13644,pcnu depok bentuk satgas nu peduli covid,7,positif
13645,keep spirit depok,1,netral
13646,baca beritanya jangan judul saja surat keputusan wali kota depok tentang penetapan status tanggap darurat bencana covid depok selama hari ke depan sejak tanggal maret sampai dengan mei ujar juru bicara gugus,-8,negatif
13647,selamat pagi masih pada dirumah kan ini hari pertama mimin kerja jangan bosen lihat mimin update teman kalau mau lihat kasus corona bisa disini untuk data update kasus covid di kota depok setiap hari akan update jam sore,1,netral
13648,penyintas covid asal depok membeberkan pengalaman mereka selama diisolasi dan membangun semangat untuk sembuh,9,positif
13649,pemerintah kota depok siapkan rs rujukan korona,-1,netral
13650,tapi urusan penanggulangan wabah korona sosok anies lebih tepat sayangnya hanya gubernur dki jadi tidak bisa ngejangkau semua wilayah tetangga seperti depok bekasi bogor dia tidak sanggup menjamah,-19,negatif
13651,cegah penyebaran corona satpas pasgar depok lakukan deteksi dini pemohon sim lewat co id,3,positif
13652,di jerman yang positif corona sampai dalam satu hari dahlah sudah benar di depok saja,5,positif
13653,maret meninggalkan depok menuju solo maret warga depok positif virus corona maret pasien positif corona meninggal di rsud moewardi solo maret ngawas uts terus diundur hiyaa,-2,negatif
13654,idris tetapkan depok jadi kota tanggap darurat covid selama hari,3,positif
13655,suasana semakin rawan saya ke lewat depok tadi ramai banget deh gada kinap kinapnya sama corona apalagi waktu pas sholat jumat allah ramai dijalan tidak pada sholat jumat,23,positif
13656,tanggap darurat covid pemerintah kota depok segera siapkan rs rujukan pemerintah kota depok menetapkan,2,netral
13657,titip pesan dari warga depok minta wilayah depok disemprot dispektan agr lbh bersih masyarakat jadi tenang semoga walikota depok bisa perintahkn jajarannya untuk melaksanakan fungsi pencegahan abang menyebarnya covid,11,positif
13658,kalau kenalan dulu kamu tinggal dimana b depok ohh depok sekarang kamu tinggal dimana b depok woii corona woiiii depok coronaaa woooo samping kamu noh corona jinc,-3,negatif
13659,positif covid depok bertambah jadi kasus,-1,netral
13660,pemerintah kota depok larang warga ibadah di luar rumah karena covid,0,netral
13661,demi allah kalau ke lapak kamu bawaannya ingin ngatain depok corona tidak tahu kenapa,-3,negatif
13662,pemerintah kota depok mengonfirmasi kasus covid sebanyak pasien positif dengan di antaranya dinyatakan sembuh tanpa korban jiwa,-1,netral
13663,sulianti adalah penderita corona asal depok,-1,netral
13664,pas corona masi di depok santai tetap tenang makan ala kadarnya masih biasa dengan sabun pas sudah sampai kantor cari vitamin cari masker perbanyak makan sayuran perbanyak dengan sabun,18,positif
13665,depok tetapkan tanggap darurat wabah corona hari,-2,negatif
13666,pembuatan cairan pembersih tangan dilakukan di laboratorium farmasi ui,-6,negatif
13667,berat banget seperti jadi warga depok begal gangster virus corona tauran nene gayung,-9,negatif
13668,cegah perluasan covid kota depok mulai larang kegiatan keagaman bersifat massal,1,netral
13669,gugus tugas percepatan penanganan covid mengatakan orang di depok positf corona,-4,negatif
13670,dengar informasi supir angkot depok yang belum dapat setoran padahal sudah jam karena penumpang sangat sepi rasanya miris sekali jadi ingin sobek mulut yang usulin lock down sekarang saja sudah hampir tidak bisa makan apalagi lock down orang banyak mati bukan karena corona nanti tapi karena tidak makan,-39,negatif
13671,update tetangga komplek saya sekalgus jamaah masjid dekat rumah saya positif covid stay safe all untung terakhir ke masjid dkt rumah itu pas sebelum balik ke depok bulan lalu,13,positif
13672,wali kota depok tetapkan status tanggap darurat wabah corona hari massa tangg,-3,negatif
13673,"nanti habis corona on the way, sedang di jalan depok",0,netral
13674,feb virus corona sudah dilevel tertinggi anies baswedan terbitkan instruksi gubernur maret menkes bantah pernyataan anies soal corona maret gubernur jabar tidak ada bukti virus corona hadir di depok,-5,negatif
13675,fadhilrachman menunggu senja ditengah siklus covid depok,-4,negatif
13676,hingga saat ini juga belum ada warga depok yang meninggal dunia akibat terinfeksi virus corona,-4,negatif
13677,personil sabhara polsek depok timur melaksanakan patroli ke apotik apotik menyampaikan pesan dan himbauan terkait kelangkaan masker hanitizer dan bahan bahan medis lainnya terkait merebaknya virus covid,-9,negatif
13678,update kasus corona di depok per maret orang positif orang sembuh dari,4,positif
13679,kadang ingin bisa muter ulang waktu kaya skrng ingin nyetop wna yang bawa corona pertama ke indo yang nginfeksi orang depok tapi kalau tidak begitu mesti wacana nasi kucing qunut tauge masi jadi wacana utama pejabat publik kita everything happen for reason,-23,negatif
13680,jum at maret terus tingkatkan daya tahan tubuh dan perilaku hidup bersih dan sehat bersama kita bisa melewati ini semua gugus tugas percepatan penanganan covid kota depok,2,netral
13681,kenapa memang kalau orang depok takut kena corona,0,netral
13682,astaghfirullah depok sudah lampu merahnya nyanyi kena corona nerbener lengkap banget,6,positif
13683,seluruh staf rs mitra keluarga depok yang merawat kasus positif covid pertama dan kedua telah selesai melaksanakan,0,netral
13684,memang numpang ampun woeee ampe segitunya lagian depok sudah aneh makin ada corona jadi begitu,12,positif
13685,rumah sakit bhayangkara brimob kelapa dua depok jawa barat resmi ditunjuk sebagai rumah sakit rujukan pasien corona covid baca selengkapnya klik,-3,negatif
13686,kasatpol pulang pergi kota depok liendaratna mengimbau orang tua mengawasi anak untuk tidak berada diluar rumah dan mendampingi mereka belajar dirumah satpolppkotadepok,-3,negatif
13687,bagaimana perkembangan di indonesia simak wawancara dengan salah satu pasien suspect dari depok selengkapnya di aplikasi roov klik link untuk dengarkan,2,netral
13688,kota depok tetapkan status tanggap darurat corona,2,netral
13689,yang depok kan peliharaan pasien kan lihat di post ig mbak anjing mati karena lagi sendirian di rumah panik pas hujan badai dia mau keluar pagar tapi nyangkut akhirnya mati bukan ketularan corona yang ketularan tapi anjing yang di hongkong,-35,negatif
13690,aku juga pernah baca tapi di depok katanya ada anjing yang mati karena corona aku ngegoogle itu kucing bisa saja kena tapi tapi jadi sieun,-6,negatif
13691,ren kita jaga jarak dulu yeh soalnya biangnya corona dari depok tertawa,5,positif
